	dimension 1	dimension 2
1001700606_G5	-31.561756	-40.8672
1001700606_G7	-15.8812475	-5.7350183
1001700606_G14	-18.169464	-1.0650613
1001700606_H1	5.9970403	-27.441694
1001700606_H3	5.550854	-25.863005
1001700606_H6	-10.811226	15.493165
1001700606_H11	-21.069014	-10.965644
1001700606_H15	-27.493423	-28.121717
1001700606_H17	10.660254	-9.179173
1001700606_I2	-19.86709	15.871842
1001700606_I4	-45.66139	-6.81586
1001700606_I5	-24.36592	-25.159702
1001700606_I7	31.375563	-14.906763
1001700606_I8	7.2761197	-22.887012
1001700606_I10	-13.938558	20.79597
1001700606_I12	-13.807386	-42.32167
1001700606_I14	15.011499	-11.91746
1001700606_I15	-26.65969	-23.101276
1001700606_I21	-17.229332	-36.290474
1001700606_I22	-46.707153	-19.2062
1001700606_J3	-23.172457	-5.697171
1001700606_J5	-36.036076	-30.24118
1001700606_J6	-2.3516867	-32.10329
1001700606_J8	-13.487301	-29.010883
1001700606_J11	34.690628	5.442117
1001700606_J16	-28.905334	2.0945323
1001700606_K1	-31.38691	-11.956636
1001700606_K3	-27.009233	-30.202955
1001700606_K5	-3.217895	1.921766
1001700606_K6	-12.746207	-40.711018
1001700606_K8	-20.215948	-7.1806707
1001700606_K10	-26.057602	-28.234697
1001700606_K14	-16.658327	-13.156086
1001700606_K16	-25.990744	-21.686712
1001700606_K19	-9.223231	-32.29313
1001700606_K22	-26.124199	-27.471327
1001700606_L1	1.4740709	-26.234215
1001700606_L4	-11.155964	-31.982273
1001700606_L7	-10.146156	3.7283783
1001700606_L11	-23.857555	-31.870913
1001700606_L16	-24.860167	7.065092
1001700606_L18	-13.916214	-28.77777
1001700606_L21	-45.470608	-13.240716
1001700606_M2	-2.3736115	-12.779115
1001700606_M4	-29.24178	-12.98033
1001700606_M5	0.24627191	-32.12191
1001700606_M9	-25.892927	-23.766405
1001700606_M12	-16.64668	-21.178402
1001700606_M17	-40.453342	-17.917974
1001700606_M20	3.9711506	11.637312
1001700606_N1	4.2885365	13.238956
1001700606_N7	-2.0012276	5.9673405
1001700606_N10	-19.884132	-21.814745
